sap;descricao;unidade;preco_unitario
357330;CONECTOR TERMINAL N;UN;0.0
P-1/4;P-1/4    INST POSTE CONCR.CIRC. 4,30M/5;UN;0.0
P-1/7;P-1/7    INST POSTE CONCR.CIRCULAR 7M/7;UN;0.0
P-5/30;P-5/30   RET  POSTE DE FERRO TUBULAR 30;UN;0.0
P-5/35;P-5/35   RET  POSTE DE FERRO TUBULAR 35;UN;0.0
P-5/40;P-5/40   RET  POSTE DE FERRO TUBULAR 40;UN;0.0
P-5/50;P-5/50   RET  POSTE DE FERRO TUBULAR 50;UN;0.0
P111-400;P111-400 RET  POSTE DE CONCRET0 11M/400;UN;0.0
P111-600;P111-600 RET  POSTE DE CONCRETO 11M/600;UN;0.0
P111000B;P111000B INST POSTE DE CONCRETO 11M/1000;UN;0.0
P1111000;P1111000 RET  POSTE DE CONCRETO 11M/100;UN;0.0
P1111500;P1111500 RET  POSTE DE CONCRETO 11M/150;UN;0.0
P111300A;P111300A RET  POSTE DE CONCRETO 11M/300;UN;0.0
P111300B;P111300B INST POSTE DE CONCRETO 11M/300D;UN;0.0
P111500B;P111500B INST PTE CONCRETO 11M/1500 DAN;UN;0.0
P111600A;P111600A RET  POSTE DE CONCRETO 11M/600;UN;0.0
P111600B;P111600B INST POSTE DE CONCRETO 11M/600D;UN;0.0
P112-400;P112-400 RET  POSTE DE CONCRETO 12M/400;UN;0.0
P112-800;P112-800 RET  POSTE DE CONCRETO 12M/800;UN;0.0
P1121000;P1121000 RET  POSTE DE CONCRETO 12M/100;UN;0.0
P1122000;P1122000 RET  POSTE DE CONCRETO 12M/200;UN;0.0
P112300;P112300  RET  POSTE DE CONCRETO 12M/300;UN;0.0
P112300B;P112300B INST PTE CONCRETO 12M/1000 DAN;UN;0.0
P112600;P112600  RET  POSTE DE CONCRETO 12M/600;UN;0.0
P112600B;P112600B INST POSTE CONCRETO 12M/600 DAN;UN;0.0
P114-700;P114-700 RET  POSTE DE CONCRETO 14M/700;UN;0.0
P1151000;P1151000 RET  POSTE DE CONCRETO 15M/100;UN;0.0
P116-600;P116-600 RET  POSTE CONCRETO 16,5M/600;UN;0.0
P121000B;P121000B INST PTE CONCRETO 12M/1000 DAN;UN;0.0
P122000B;P122000B INST POSTE DE CONCRETO 12M/2000;UN;0.0
P151000B;P151000B INST PTE CONCRETO 15M/1000 DAN;UN;0.0
P19-300;P19-300  RET  POSTE DE CONCRETO 9M/300;UN;0.0
P19150A;P19150A  RET  POSTE DE CONCRETO 9M/150D;UN;0.0
P19150B;P19150B INST POSTE DE CONCRETO 9M/150;UN;0.0
P19300A;P19300A  RET  POSTE DE CONCRETO 9M/300D;UN;0.0
P19300B;P19300B INST POSTE DE CONCRETO 9M/300 DA;UN;0.0
P211300;P211300  INST POSTE DUPLO T CONCR 11/300;UN;0.0
P211600;P211600 INST POSTE DUPLO T CONCR 11/600;UN;0.0
P212600;P212600 INST POSTE DUPLO T CONCR 12/600;UN;0.0
P29300;P29300 INST POSTE DUPLO T CONCR 9/300;UN;0.0
P310-300;P310-300 RET  POSTE DE MADEIRA 10M/300;UN;0.0
P311-300;P311-300 RET  POSTE MADEIRA 11M/300 DAN;UN;0.0
P312-600;P312-600 INST POSTE DE MADEIRA 12M/600;UN;0.0
P37-230;P37-230  INST POSTE DE MADEIRA 7M/230 D;UN;0.0
P39-150;P39-150  RET  POSTE DE MADEIRA 9M/150 D;UN;0.0
P411300;P411300 INST POSTE DE FIBRA 11M/300DAN;UN;0.0
P411600;P411600 INST POSTE DE FIBRA 11M/600DAN;UN;0.0
P412600;P412600 INST POSTE DE FIBRA 12M/600DAN;UN;0.0
P49300;P49300 INST POSTE DE FIBRA 9M/300DAN;UN;0.0
