sap;descricao;unidade;custo_un;normas
0;CUSTO MSD;UN;0.0;
1;Clientes:;UN;0.0;
100259;CADEADO CR-20 P/ CAIXA CLIENTE;UN;0.0;
100260;CAIXA P/ CHAVE DE SUBESTAÇÃO;UN;0.0;
100285;INSERTO CARBONETO TUNGSTÊNIO;UN;0.0;
100308;INSERTO CARBONETO TUNGSTÊNIO;UN;0.0;
100312;INSERTO CARBONETO TUNGSTÊNIO;UN;0.0;
100319;INSERTO CARBONETO TUNGSTÊNIO;UN;0.0;
100356;FURGÃO-ICMS 12%, CONVÊNIO 129/97;UN;0.0;
100361;ALTERAÇÃO ICMS DE 12% PARA 7%;UN;0.0;
13-R/2N;13-R/2N  INST MONT. C/ 2 TRAFOS (TIPO B;UN;0.0;
13A;13A      RET  FERRAG.1 LIN.TRIA.POSTE C;UN;0.0;
13B;13B      RET  FERRAG.2 LIN.TRIA.POSTE C;UN;0.0;
13B1;13B1     INST BECO PINO SIMPLES URB. 13;UN;0.0;
13B1/F-1;13B1/F-1 INST 13B1 SEM ISOLADORES;UN;0.0;
13B1DT;13B1DT    INST BECO PINO SIMPLES URB. 13;UN;0.0;
13B2;13B2     RET  BECO PINO DUPLO URBANO 13;UN;0.0;
13B2/F-1;13B2/F-1 INST 13B2 SEM ISOLADORES;UN;0.0;
13B3;13B3     INST BECO UM FIM REDE URB. 13,;UN;0.0;
13B3DT;13B3DT    INST BECO UM FIM REDE URB. 13,;UN;0.0;
13B4;13B4     INST BECO 2 FINS REDE URBANO 1;UN;0.0;
13B4CFR;13B4CFR INST EST CONJ CH FUS REL EM BECO;UN;0.0;
13B4CFRS;13B4CFRS INS EST CONJ CH FUS REL BY PASS;UN;0.0;
13B4CFS;13B4CFS INST EST P/CHAVE FUS COM BY PASS;UN;0.0;
13B4CFSU;13B4CFSU INST ESTR CHAVE FUS C/ BY PASS;UN;0.0;
13B4DT;13B4DT    INST BECO 2 FINS REDE URBANO 1;UN;0.0;
13B4RCPR;13B4RCPR INST ESTR RELIG CHAVE SEC CONVE;UN;0.0;
13B4RCVT;13B4RCVT INST ESTR RELIG.SEC CONV.   CVT;UN;0.0;
13B4RLN;13B4RLN INST EST RELIG C/ SECCION NOJA;UN;0.0;
13B4RSLB;13B4RSLB INST RELI CH FACA LB CONV 13 KV;UN;0.0;
13BC/N;13BC/N   INST BANCO CAPACITORES FIXO 13;UN;0.0;
13C;13C      RET  FERRAG.1 LIN.TRIANG.POSTE;UN;0.0;
13CE1;13CE1    RET  RD.AE.COMPAC.P/VAOS TANGE;UN;0.0;
13CE1-FA;13CE1-FA RET  RD.AE.COMPAC.P/INST.CHAVE;UN;0.0;
13CE1-PR;13CE1-PR RET  RD.AE.COMPAC.P/INST.PARA-;UN;0.0;
13CE1-TR;13CE1-TR RET  RD.AE.COMPAC.P/INST.DE TR;UN;0.0;
13CE1A;13CE1A INST RD AE COMP BRAÇO ANTI VÃO TG;UN;0.0;
13CE1DT;13CE1DT INST RD.COMPAC.P/VÃOS TANG. DT;UN;0.0;
13CE2;13CE2    INST RD.AE.COMPAC.P/DEFLEXAO R;UN;0.0;
13CE2.3;13CE2.3 INST EST CONJUG DERIV COM DEFLEX;UN;0.0;
13CE2CE3;13CE2CE3 INST RD AE COMP DERIV LADO OPOS;UN;0.0;
13CE2DT;13CE2DT  INST RD.COMPAC.P/DEFLEXÃO DT;UN;0.0;
13CE2JPR;13CE2JPR INST. DE PARA-RAIOS;UN;0.0;
13CE2JT;13CE2JT INST TRANSF CONV C BRAÇO HOR JOT;UN;0.0;
13CE2JT2;13CE2JT2 INST TRAFO CONV PARALEL BR JOTA;UN;0.0;
13CE2JTA;13CE2JTA INST TRANSF AP COM  BRAÇO JOTA;UN;0.0;
13CE3;13CE3    INST RD.AE.COMPACTA PARA FIM R;UN;0.0;
13CE3/R;13CE3/R  INST MAO DE OBRA RELOCAR 13CE3;UN;0.0;
13CE3CE3;13CE3CE3 INST EST DERIV DOIS FINS D REDE;UN;0.0;
13CE3DT;13CE3DT INST RD.AE.COMPACTA P/ FIM R DT;UN;0.0;
13CE3FAT;13CE3FAT INST ESTR. TRANS. AEREO SUBTER;UN;0.0;
13CE3PR;13CE3PR INST. DE PÁRA-RAIOS;UN;0.0;
13CE3T;13CE3T INST TRANSF CONV EM FIM DE REDE;UN;0.0;
13CE3TA;13CE3TA INST. TRAFO AUTOPROTEGIDO;UN;0.0;
13CE4;13CE4    INST RD.AE.COMPAC.P/DEFLEXAO E;UN;0.0;
13CE4CE3;13CE4CE3 INST EST FIM DE REDE E DEFLEXÃO;UN;0.0;
13CE4DT;13CE4DT   INST RD.AE.COMPAC.P/DEFLEXAO E;UN;0.0;
13CE4JC3;13CE4JC3 INST.CH INTERRUPTORA TRIPOLAR;UN;0.0;
13CE4JR;13CE4JR INST.RELIG C/BRAÇO AFASTADOR;UN;0.0;
13CE4JS;13CE4JS INST.SECCIONALIZADOR C/BRAÇO;UN;0.0;
13CECFSU;13CECFSU INST ESTR CHAVE FUS C/ BY PASS;UN;0.0;
13CEJCF;13CEJCF INST. CH. FUSIVEL DEFLEXAO ESP;UN;0.0;
